from_station,to_station,bike_count,distance_km,cost
S1130,S1121,30,0.14,12.25
S0816,S0805,30,0.08,10.41
S1252,S1305,30,0.26,15.85
S1147,S1162,30,0.04,9.1
S1146,S1121,30,0.54,24.1
S0915,S0949,28,0.12,11.25
S1283,S1303,25,0.42,18.47
S1148,S1162,25,0.04,8.98
S1205,S1131,23,0.46,18.51
S0969,S0949,21,0.47,17.92
S1190,S1131,21,0.55,19.47
S1108,S1073,21,0.25,13.2
S1293,S1303,18,0.32,13.69
S1083,S1082,17,0.29,12.86
S0804,S0805,17,0.21,11.65
S1100,S1073,15,0.54,16.09
S1094,S1073,13,0.04,8.5
S1178,S1162,13,0.33,12.23
S1229,S1305,13,0.29,11.78
S1084,S1082,12,0.64,15.67
S1199,S1131,11,0.37,12.04
S1109,S1162,9,0.5,12.49
S1023,S0863,8,0.18,9.43
S1082,S1162,6,0.5,11.01
S1204,S1205,4,0.21,8.84
